test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,period(est),amplitude,acrophase,mesor,ME,resid_SE
test1,24,1,1.1102230246251565e-16,1.4802973661668753e-16,0.1694089388755362,0.2541134083133043,11.512154005063648,0.7847551274737568,0.7787761032369167,-36.142211255769624,24,1.039763980631057,-6.13223791241251,0.002030648724810069,0.7971138402426636,0.39986376160900877
test1,24,2,1.1102230246251565e-16,1.4802973661668753e-16,0.10215667983544907,0.20431335967089814,11.387176297361014,0.7870918587884389,0.7749256792906354,-35.732879584415215,24,1.0478584415110483,-6.0274133327131505,-0.020210338758194002,0.804413497062029,0.4033285845376662
test1,24,3,1.1102230246251565e-16,1.4802973661668753e-16,0.15418252483423633,0.2541134083133043,10.7456464969105,0.7990866601139789,0.781359012476977,-33.558361814616774,24,1.0747624810613805,-5.765351883464753,0.021673528217581284,0.7932439867933564,0.397522594565215
test2,24,1,2.220446049250313e-16,2.6645352591003756e-16,0.24772701241322226,0.3303026832176297,19.738162540610794,0.6311500866312869,0.6209042557043782,-56.360358731129075,24,0.932109632271466,-3.197149680830454,-0.02253434792985809,1.0437474198893295,0.5235848989393909
test2,24,2,3.4416913763379853e-15,3.75457241055053e-15,0.30503426656712496,0.36604111988054994,18.871758261360586,0.6473407093747263,0.627188749910425,-54.67708070682395,24,0.9748765952502039,-2.9875005214317354,0.04404995721514382,1.0355653465268366,0.5192268739104954
test2,24,3,2.3314683517128287e-14,2.3314683517128287e-14,0.39766755579161406,0.4338191517726699,18.00050223316164,0.6636219974562261,0.6339415854670696,-52.90457295833489,24,0.9441985898179928,-2.673026782333658,0.008264174964290327,1.0266746178024602,0.514502933067179
test3,24,1,1.1102230246251565e-16,1.4802973661668753e-16,2.7344793096517606e-13,1.6406875857910563e-12,66.22364290179588,0.5188100511418263,0.512126857407685,-149.9754286423326,24,0.976144942655677,-0.05241228984967957,-0.0004644795197837892,1.3404129039399335,0.6781492527757066
test3,24,2,1.1102230246251565e-16,1.4802973661668753e-16,3.0374839792846053e-05,9.112451937853816e-05,44.88016212307216,0.6738946700837267,0.6647086044522824,-121.38086596067353,24,1.1219274765105116,-0.026206144924839785,0.356556338410434,1.1113431679266603,0.5621898965117968
test3,24,3,1.1102230246251565e-16,1.4802973661668753e-16,0.054028810796039606,0.12966914591049505,36.586735178882435,0.734155832295107,0.7227625108220401,-106.36407172411431,24,1.2768434403110223,-0.05241228984967957,0.5035328431464392,1.0106860713093344,0.5112081989818856
test4,24,1,1.1102230246251565e-16,1.4802973661668753e-16,3.985700658404312e-14,4.782840790085174e-13,57.2133115198812,0.6005895622513421,0.5950421950603886,-139.22598363181154,24,1.0716309509868696,-3.039912811281415,-0.04252879750283589,1.245892608324181,0.6303290119711359
test4,24,2,1.1102230246251565e-16,1.4802973661668753e-16,4.6409422358451025e-06,1.856376894338041e-05,38.957727767562425,0.7280331676671412,0.7203721301366381,-110.9792401369492,24,1.2094667621201842,-2.1226977389120227,-0.3648806743275732,1.0354229448784384,0.5237844934190151
test4,24,3,1.1102230246251565e-16,1.4802973661668753e-16,0.6918695195106932,0.6918695195106932,27.473154304654354,0.8082078401746531,0.7999881761821381,-85.3080543293392,24,1.4318586173965306,-3.039912811281415,-0.4974198940563046,0.8758076105747686,0.44298624861480385
